,depth,node_lat,node_lng
0,0,2.0,125.0
1,1,-18.0,95.0
2,1,-18.0,100.0
3,1,-18.0,105.0
4,1,-18.0,110.0
5,1,-18.0,115.0
6,1,-18.0,120.0
7,1,-13.0,100.0
8,1,-13.0,105.0
9,1,-13.0,110.0
10,1,-13.0,115.0
11,1,-13.0,120.0
12,1,-13.0,170.0
13,1,-8.0,110.0
14,1,-8.0,115.0
15,1,-8.0,120.0
16,1,-8.0,125.0
17,1,-8.0,150.0
18,1,-8.0,155.0
19,1,-3.0,105.0
20,1,-3.0,110.0
21,1,-3.0,115.0
22,1,-3.0,120.0
23,1,-3.0,125.0
24,1,-3.0,130.0
25,1,-3.0,135.0
26,1,-3.0,140.0
27,1,-3.0,145.0
28,1,-3.0,150.0
29,1,-3.0,155.0
30,1,-3.0,160.0
31,1,-3.0,165.0
32,1,-3.0,170.0
33,1,-3.0,175.0
34,1,-3.0,180.0
35,1,2.0,105.0
36,1,2.0,110.0
37,1,2.0,115.0
38,1,2.0,120.0
39,1,2.0,130.0
40,1,2.0,135.0
41,1,2.0,140.0
42,1,2.0,145.0
43,1,2.0,150.0
44,1,2.0,155.0
45,1,2.0,160.0
46,1,2.0,165.0
47,1,2.0,170.0
48,1,2.0,175.0
49,1,7.0,100.0
50,1,7.0,105.0
51,1,7.0,110.0
52,1,7.0,115.0
53,1,7.0,120.0
54,1,7.0,125.0
55,1,7.0,130.0
56,1,7.0,135.0
57,1,7.0,140.0
58,1,7.0,145.0
59,1,7.0,150.0
60,1,7.0,155.0
61,1,7.0,160.0
62,1,7.0,165.0
63,1,7.0,170.0
64,1,7.0,175.0
65,1,7.0,180.0
66,1,7.0,185.0
67,1,7.0,190.0
68,1,12.0,100.0
69,1,12.0,110.0
70,1,12.0,125.0
71,1,12.0,130.0
72,1,12.0,135.0
73,1,12.0,140.0
74,1,12.0,145.0
75,1,12.0,150.0
76,1,12.0,155.0
77,1,12.0,160.0
78,1,12.0,165.0
79,1,12.0,170.0
80,1,17.0,105.0
81,1,17.0,110.0
82,1,17.0,115.0
83,1,17.0,120.0
84,1,17.0,125.0
85,1,17.0,130.0
86,1,17.0,135.0
87,1,17.0,140.0
88,1,17.0,145.0
89,1,17.0,150.0
90,1,22.0,105.0
91,1,22.0,110.0
92,1,22.0,115.0
93,1,22.0,120.0
94,1,22.0,125.0
95,1,22.0,130.0
96,1,22.0,135.0
97,1,22.0,140.0
98,1,22.0,145.0
99,1,27.0,120.0
100,1,27.0,125.0
101,1,27.0,130.0
102,1,27.0,135.0
103,1,27.0,140.0
104,1,32.0,125.0
105,1,32.0,130.0
106,1,32.0,135.0
107,1,32.0,140.0
108,1,32.0,145.0
109,1,32.0,150.0
110,1,32.0,155.0
111,1,32.0,160.0
112,1,32.0,170.0
113,1,37.0,140.0
114,1,37.0,145.0
115,1,37.0,150.0
116,1,37.0,155.0
117,1,37.0,160.0
118,2,-13.0,125.0
119,2,-13.0,130.0
120,2,-13.0,145.0
121,2,-8.0,105.0
122,2,-8.0,130.0
123,2,-8.0,135.0
124,2,12.0,115.0
125,2,12.0,120.0
126,2,22.0,150.0
127,2,22.0,155.0
128,2,27.0,145.0
129,2,27.0,150.0
130,2,27.0,155.0
131,2,27.0,160.0
132,2,27.0,165.0
133,2,27.0,170.0
134,2,27.0,175.0
135,2,27.0,180.0
136,2,32.0,165.0
137,2,32.0,175.0
138,2,32.0,180.0
139,2,32.0,185.0
140,2,32.0,190.0
141,2,32.0,195.0
142,2,32.0,200.0
143,2,32.0,205.0
144,2,32.0,210.0
145,2,37.0,130.0
146,2,37.0,165.0
147,2,37.0,170.0
148,2,37.0,175.0
149,2,37.0,180.0
150,2,37.0,185.0
151,2,37.0,190.0
152,2,37.0,195.0
153,2,37.0,200.0
154,2,37.0,205.0
155,2,37.0,210.0
156,2,37.0,215.0
157,2,37.0,220.0
158,2,42.0,180.0
159,2,42.0,200.0
160,3,-18.0,135.0
161,3,-18.0,140.0
162,3,-13.0,140.0
163,3,27.0,185.0
164,3,27.0,215.0
165,3,27.0,220.0
166,3,27.0,225.0
167,3,27.0,230.0
168,3,32.0,215.0
169,3,32.0,220.0
170,3,32.0,225.0
171,3,32.0,230.0
172,3,37.0,225.0
173,3,37.0,230.0
174,3,42.0,215.0
175,3,42.0,220.0
176,3,42.0,225.0
177,4,22.0,210.0
178,4,22.0,215.0
179,4,22.0,220.0
180,4,27.0,200.0
181,4,27.0,205.0
182,4,27.0,210.0
183,4,27.0,235.0
184,4,32.0,235.0
185,5,-28.0,65.0
186,5,22.0,200.0
187,5,22.0,205.0
188,5,22.0,225.0
189,5,27.0,190.0
190,5,27.0,195.0
